solar-UPV,wind-new,storage_level,storage_capacity,line
0.0,0.0,4.3971396504376276e-13,1.0992849126094069e-13,2.6809334548587828e-14
0.0,0.0,4.3760879385589336e-13,1.0940219846397334e-13,1.66294379727869e-14
0.0,0.0,4.3979822325538237e-13,1.0994955581384559e-13,1.3165055961005074e-14
0.0,0.0,4.39167708238781e-13,1.0979192705969526e-13,1.7313728661221805e-14
0.0,0.0,4.3918707511786536e-13,1.0979676877946634e-13,2.544098998953039e-14
0.0,0.0,4.391744198923913e-13,1.0979360497309783e-13,1.3974743059963918e-14
0.0,0.0,4.390142568235803e-13,1.0975356420589507e-13,1.3608630030736393e-14
0.0,0.0,4.39821520289608e-13,1.09955380072402e-13,1.8119015172516518e-14
0.0,0.0,4.372980814270785e-13,1.0932452035676963e-13,2.1773621081765372e-14
0.0,0.0,4.398883163193646e-13,1.0997207907984115e-13,1.8409381346054604e-14
0.0,0.0,4.3965539170765445e-13,1.0991384792691361e-13,1.8736935159370294e-14
0.0,0.0,4.402782389857016e-13,1.100695597464254e-13,1.5432574873152442e-14
0.0,0.0,4.396410190568395e-13,1.0991025476420987e-13,2.4301216155483225e-14
0.0,0.0,4.416799403516609e-13,1.1041998508791522e-13,1.749357236279805e-14
0.0,0.0,4.393172553784792e-13,1.098293138446198e-13,1.1335484903352098e-14
0.0,0.0,4.3923531867782645e-13,1.0980882966945661e-13,1.465020766019547e-14
0.0,0.0,4.3988639793250043e-13,1.0997159948312511e-13,4.872762277107758e-14
0.0,0.0,4.4034800585936284e-13,1.1008700146484071e-13,1.3220910880033454e-14
0.0,0.0,4.3979190878981544e-13,1.0994797719745386e-13,1.1117449575404465e-14
0.0,0.0,4.3969176726441566e-13,1.0992294181610391e-13,1.0439519299839362e-14
0.0,0.0,4.383287984845186e-13,1.0958219962112965e-13,1.221993074289057e-14
0.0,0.0,4.404757381516371e-13,1.1011893453790927e-13,9.282790803782123e-15
0.0,0.0,4.3877769425917163e-13,1.0969442356479291e-13,2.158642832560562e-14
0.0,0.0,4.3919726037601064e-13,1.0979931509400266e-13,3.345716717042954e-14
0.0,0.0,4.3917256354672346e-13,1.0979314088668086e-13,5.0076416777497655e-15
0.0,0.0,4.3806963631402835e-13,1.0951740907850709e-13,7.032013577198253e-15
0.0,0.0,4.479476312608547e-13,1.1198690781521367e-13,1.07538637839073e-14
0.0,0.0,4.3916513141471057e-13,1.0979128285367764e-13,1.2638516593037645e-14
0.0,0.0,4.402986204396249e-13,1.1007465510990623e-13,1.2964279255395916e-14
0.0,0.0,4.390861300538026e-13,1.0977153251345065e-13,9.441359158336996e-15
0.0,0.0,4.369795993554613e-13,1.0924489983886533e-13,1.2574681286651694e-14
0.0,0.0,4.3887228318301934e-13,1.0971807079575484e-13,1.7816738373035996e-14
0.0,0.0,4.536640853952412e-13,1.134160213488103e-13,1.8947815288071183e-14
